StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,practice trial 1,practice trial 2,lawyer-male,lawyer-female,lawyer-neutral,doctor-male,doctor-female,doctor-neutral,student-male,student-female_1,student-neutral,model-male,model-female,model-neutral,singer-male,singer-female,singer-neutral,phd-male,phd-female,phd-neutral,baker-male,baker-female,baker-neutral,salesman-male,salesman-female,salesman-neutral,nurse-male,nurse-female,nurse-neutral,wireman-male,wireman-female,wireman-neutral,photographer-male,photographer-female,photographer-neutral,athlete-male,athlete-female,athlete-neutral,filler 1,filler 2,filler 3,filler 4,filler 5,filler 6,filler 7,filler 8,filler 9,filler 10,filler 11,filler 12,filler 13,filler 14,filler 15,filler 16,filler 17,filler 18,filler 19,filler 20,filler 21,filler 22,filler 23,filler 24,性别,语言,学习阶段,年级,年级,询问
2022-07-03 05:51:03,2022-07-03 05:56:05,IP Address,111.192.97.225,100,302,True,2022-07-03 05:56:05,R_1gwma9gsdScPwCt,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,她,,,她,,,,她,,她,,,,他,他,,,,,他,,她,,,,他,,,他,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,英语和中文,高中阶段,,高中一年级,评价受试者的中文能力
2022-07-03 05:51:41,2022-07-03 05:56:06,IP Address,120.244.194.48,100,264,True,2022-07-03 05:56:06,R_RK0JB4Pl9Abljc5,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,,,,,她,,,,他,,她,,他,,,他,,,他,,,他,,,,她,,,,他,幸福,排队,认同,时间,所以,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，日语，英语，神秘方言,高中阶段,,高中二年级,母语者的打字错误率
2022-07-03 05:48:47,2022-07-03 05:56:09,IP Address,123.114.28.208,100,442,True,2022-07-03 05:56:10,R_25KNS8qriB8GVdO,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,他,,,他,,,他,,,,,他,,,他,他,,,,她,,,她,,,她,,,她,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 一点点英语,高中阶段,,高中二年级,大众脑海中对某些职业的刻板印象
2022-07-03 05:52:49,2022-07-03 05:56:14,IP Address,114.254.115.188,100,204,True,2022-07-03 05:56:14,R_1CwjuiGrAp5HdQQ,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,,他,他,,,他,,,,,她,,,他,,她,,他,,,,她,,,她,,他,,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英语 日语 德语,高中阶段,,高中三年级,是
2022-07-03 05:47:45,2022-07-03 05:56:14,IP Address,111.41.60.250,100,509,True,2022-07-03 05:56:14,R_2OVFg1mZXh0SCbP,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,她,,他,,,,,他,他,,,他,,,他,,,,,他,他,,,,她,,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,公,是,儿童,女,中文 英语 日语,高中阶段,,高中二年级,汉语母语者对汉语的掌握程度
2022-07-03 05:53:37,2022-07-03 05:57:00,IP Address,222.129.238.130,100,203,True,2022-07-03 05:57:01,R_4Tk4lRTxIDI2hsB,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,他,,,,她,,他,,,他,,,他,,,,,他,,,她,,,他,,她,,他,,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文,高中阶段,,高中二年级,对于性别刻板印象
2022-07-03 05:51:42,2022-07-03 05:57:01,IP Address,120.245.92.56,100,318,True,2022-07-03 05:57:01,R_3MJTkMsrkeWmH2l,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,他,,,,,她,,,他,他,,,,她,,,她,,,她,,他,,,,,他,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英文,高中阶段,,高中一年级,中文水平，拼音与汉字的对应能力，以及对语境和主语的理解导致不同的他/她使用
2022-07-03 05:51:59,2022-07-03 05:57:13,IP Address,119.33.249.39,100,313,True,2022-07-03 05:57:13,R_YRegPsYnjrRGPEB,,,,,23.1181,113.2539,anonymous,ZH-S,花园,有,,她,,,她,,,她,,他,,,他,,,,她,,,她,,他,,,,,她,,,他,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英语,高中阶段,,高中二年级,中国的文化普及率
2022-07-03 05:53:18,2022-07-03 05:57:49,IP Address,111.197.104.159,100,270,True,2022-07-03 05:57:49,R_3hGf3hefmaIz3l8,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,,他,他,,,他,,,,她,,,,他,,她,,,,他,他,,,,,他,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,中文、英文、日文,高中阶段,,高中二年级,不同学段、不同性别对熟悉的文字的反应速度、准确度
2022-07-03 05:53:51,2022-07-03 05:58:13,IP Address,221.218.175.236,100,261,True,2022-07-03 05:58:13,R_30bLEqFzQ3rxoYb,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他（她）,,,他（她）,,她,,,她,,他,,,他,,,他,,,,她,,,,他（她）,他,,,他,,,,,他（她）,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,汉语 英语（水平欠佳）,高中阶段,,高中二年级,汉字与词语的使用 性别刻板印象
2022-07-03 05:55:29,2022-07-03 05:58:26,IP Address,120.244.192.114,100,177,True,2022-07-03 05:58:27,R_3P5YR8BeeOrNlbA,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,她,,,她,,,她,,他,,,他,,,他,,,,她,,,,她,,,他,,,他,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文,高中阶段,,高中二年级,写字
2022-07-03 05:49:08,2022-07-03 05:58:45,IP Address,113.5.12.24,100,576,True,2022-07-03 05:58:45,R_2EEnFbwGWUqBiMS,,,,,45.75,126.65,anonymous,ZH-S,花园,有,,她,,他,,,,,他,,她,,,,他,,,他,,她,,,她,,,她,,,她,,,,他,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文,高中阶段,,高中三年级,中文水平
2022-07-03 05:53:06,2022-07-03 05:58:47,IP Address,114.254.2.46,100,341,True,2022-07-03 05:58:47,R_3QPj6XvANzPTiPJ,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,,他,,,她,,,她,,她,,,,他,他,,,,她,,他,,,,,他,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文,高中阶段,,高中二年级,测试拼音能力
2022-07-03 05:50:53,2022-07-03 05:59:13,IP Address,120.244.194.176,100,499,True,2022-07-03 05:59:13,R_2wuHDZGH0HWmhj7,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,他,,,他,,,,,他,,,她,他,,,,,他,他,,,,她,,,她,,,她,,,,她,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文普通话，英文,高中阶段,,高中二年级,性别？
2022-07-03 05:54:45,2022-07-03 05:59:33,IP Address,123.115.142.205,100,288,True,2022-07-03 05:59:34,R_28D5KT7PLO4wVCp,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,,他,,,他,,她,,,,她,,她,,,,他,他,,,,她,,,她,,他,,,他,,,幸福,排队,认同,时间,所有,这,有,鲜味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,汉语 英语,高中阶段,,高中二年级,性别刻板印象
2022-07-03 05:55:14,2022-07-03 05:59:44,IP Address,114.246.40.176,100,270,True,2022-07-03 05:59:44,R_RLAy3srRKVvMC6B,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,她,,他,,,,,她,,她,,,她,,,她,,他,,,他,,,,,他,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文，英文，日语,高中阶段,,高中三年级,不知道
2022-07-03 05:58:39,2022-07-03 06:01:56,IP Address,123.112.29.178,100,197,True,2022-07-03 06:01:57,R_BE5c9TPxeJMkF4B,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,,,他,,她,,他,,,,她,,,,他,他,,,,她,,,,他,,,他,,她,,幸福,排队,认同,时间,所有,整,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文,高中阶段,,高中二年级,能让我体验一把学霸的感受
2022-07-03 05:57:47,2022-07-03 06:02:18,IP Address,112.49.96.229,100,270,True,2022-07-03 06:02:19,R_28UG6O0KH0m5yfS,,,,,26.0492,119.2906,anonymous,ZH-S,花园,有,,她,,,她,,他,,,他,,,,她,,,,他,他,,,,她,,他,,,他,,,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文,高中阶段,,高中一年级,人对于常用语言的习惯性用法和了解程度
2022-07-03 05:58:55,2022-07-03 06:02:34,IP Address,218.241.249.6,100,218,True,2022-07-03 06:02:34,R_2P1pjGOnJNUvhRv,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,她,,,她,,他,,,,,他,,她,,他,,,,,他,,,她,,她,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,背,少年,红,是,儿童,男,汉语英语,高中阶段,,高中二年级,
2022-07-03 05:58:38,2022-07-03 06:03:17,IP Address,221.218.170.50,100,279,True,2022-07-03 06:03:18,R_0fF7lxltH6e6ogh,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,他,,,,她,,,她,,他,,,他,,,,她,,他,,,他,,,,,他,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文，英文,高中阶段,,高中三年级,拼音与汉字的适配度
2022-07-03 06:00:01,2022-07-03 06:03:17,IP Address,119.32.73.132,100,195,True,2022-07-03 06:03:18,R_1CvIhgakbhEO7yC,,,,,23.1181,113.2539,anonymous,ZH-S,花园,有,,,他,,,他,他,,,,她,,,,他,,她,,,她,,,她,,,她,,,,他,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文英文,高中阶段,,高中二年级,不知道
2022-07-03 05:58:29,2022-07-03 06:03:52,IP Address,58.62.29.125,100,323,True,2022-07-03 06:03:53,R_2rIrEBodJ0gtnqi,,,,,22.9326,112.0409,anonymous,ZH-S,花园,有,他,,,,,他,他,,,,,他,,她,,他,,,,,他,,,他,他,,,,她,,,,他,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,汉语英语,高中阶段,,高中二年级,中文水平
2022-07-03 06:02:03,2022-07-03 06:06:38,IP Address,111.199.150.49,100,275,True,2022-07-03 06:06:39,R_1OrafdlVWTDBfYb,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,,她,,他,,,,,他,,她,,,,他,,她,,,,他,他,,,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,中文，英语,高中阶段,,高中三年级,拼音拼写和中文句子理解，也许也有在中文语境下对职业的性别刻板印象?
2022-07-03 06:05:29,2022-07-03 06:09:10,IP Address,120.245.68.255,100,221,True,2022-07-03 06:09:10,R_3qrqxZsT0iQe5jL,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,她,,,,他,他,,,,她,,他,,,,,他,他,,,,她,,他,,,,她,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,汉语，英语,高中阶段,,高中二年级,研究汉语字词与拼音的对应能力以及上下文联系
2022-07-03 06:05:00,2022-07-03 06:11:26,IP Address,120.244.194.126,100,385,True,2022-07-03 06:11:26,R_21iEA0PBmQyZdGf,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,,他／她,他,,,,,他／她,他,,,,,他／她,他,,,,,他／她,他,,,,,他／她,,,他／她,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文、英文,高中阶段,,高中二年级,各阶段学生对母语的了解和认识
2022-07-03 06:07:02,2022-07-03 06:11:55,IP Address,120.244.10.103,100,292,True,2022-07-03 06:11:55,R_2RO1Xp346vCNE32,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,他,,,,她,,,她,,,她,,,,他,,,他,,她,,他,,,,她,,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英语,高中阶段,,高中二年级,中文
2022-07-03 06:08:28,2022-07-03 06:14:53,IP Address,114.254.3.180,100,385,True,2022-07-03 06:14:53,R_3ncMlm9eN2l0HiW,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,她,,,,他,,她,,,,她,他,,,,,他,他,,,,,她,他,,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七," 北",少年,红,是,儿童,男,汉语和英语,高中阶段,,高中二年级,以汉语为母语者能否正常说汉语
2022-07-03 06:11:51,2022-07-03 06:15:36,IP Address,223.72.41.145,100,225,True,2022-07-03 06:15:37,R_1flvkd2fiOhULQ5,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,他,,,他,,,他,,,他,,,,她,,,她,,,,她,,她,,,,他,他,,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文 英语,高中阶段,,高中二年级,汉语言已混字
2022-07-03 06:14:01,2022-07-03 06:17:41,IP Address,120.245.94.28,100,220,True,2022-07-03 06:17:41,R_bDEf0jGlLbWRNAJ,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,,,他,他,,,,她,,他,,,,她,,他,,,他,,,,她,,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,非二元性别/第三性别,英语 西班牙语 中文,高中阶段,,高中一年级,
2022-07-03 06:11:39,2022-07-03 06:18:38,IP Address,223.70.163.78,100,419,True,2022-07-03 06:18:38,R_3psTDYnL8iZPEV7,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,,TA,,她,,,,TA,,,他,,她,,,,TA,,她,,他,,,,她,,,她,,,,她,性福,排队,认同,时间,所有,浙,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,yee,7,北,少男,红,似,儿童,男,中文,高中阶段,,高中一年级,不同碱基对排列顺序对基因表达的影响
2022-07-03 06:15:32,2022-07-03 06:19:39,IP Address,120.244.192.49,100,246,True,2022-07-03 06:19:39,R_1DC2ROS3JGoMiUx,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,她,,他,,,,,他,,,他,,,他,他,,,,她,,,,他,他,,,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英语,高中阶段,,高中三年级,耐心？
2022-07-03 06:13:22,2022-07-03 06:20:08,IP Address,114.253.202.29,100,405,True,2022-07-03 06:20:08,R_2TMLsWC5HKF5J8n,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,,他,,她,,,她,,他,,,他,,,他,,,,,她,,,她,他,,,,,他,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文 英语,高中阶段,,高中二年级,如何更好的学习中文（对于给外国人而言）
2022-07-03 06:17:29,2022-07-03 06:21:20,IP Address,27.219.211.59,100,231,True,2022-07-03 06:21:20,R_PZqDjGoMY774qQh,,,,,31.2222,121.4581,anonymous,ZH-S,花园,有,他,,,,,他,,,他,他,,,他,,,,,他,,,他,他,,,,她,,他,,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,语文英语日语,高中阶段,,高中二年级,人们对于汉字的运用
2022-07-03 06:17:08,2022-07-03 06:22:07,IP Address,120.244.226.98,100,298,True,2022-07-03 06:22:07,R_2dXAevDGl3Mu2Uz,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,她,,她,,,,她,,她,,,她,,,她,,,她,,,,她,,,她,,她,,,她,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文,高中阶段,,高中二年级,中国人语文知识分布
2022-07-03 06:19:09,2022-07-03 06:22:49,IP Address,120.245.102.168,100,219,True,2022-07-03 06:22:49,R_1E5Lc1FDg1j5Gf1,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,她,,,她,,,,她,,,她,他,,,他,,,,她,,,她,,,,他,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,"中文 英文 韩文 ",高中阶段,,高中三年级,性别刻板印象
2022-07-03 06:19:15,2022-07-03 06:22:56,IP Address,223.72.76.17,100,221,True,2022-07-03 06:22:57,R_33gbIQfD29UH1Tr,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,他,,,他,,,,他,,,她,,,,他,,,他,他,,,他,,,,,他,,,他,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文,高中阶段,,高中二年级,高中生的中文水平
2022-07-03 06:23:37,2022-07-03 06:27:19,IP Address,114.254.0.150,100,221,True,2022-07-03 06:27:19,R_3Rrvh84SyqQx5yk,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他/她,他,,,他,,,他,,,,,他/她,他,,,,她,,他,,,,她,,他,,,,,他/她,,,他/她,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英文,高中阶段,,高中二年级,群众的性别潜意识和刻板印象
2022-07-03 06:22:58,2022-07-03 06:28:00,IP Address,221.221.23.28,100,301,True,2022-07-03 06:28:01,R_T5XRmO9FMc7kCxr,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,,他,,,他,他,,,,她,,,,他,,她,,,,他,他,,,,她,,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文、英文、法语简单对话,高中阶段,,高中二年级,对简单字形的辨认、打字能力、对于做简单问卷的耐心、是否在回答问题时足够坚定（？
2022-07-03 06:24:30,2022-07-03 06:28:21,IP Address,114.254.9.114,100,230,True,2022-07-03 06:28:21,R_3psYps0JvVMHcY2,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,他,,,,她,,他,,,,她,,,,他,,,他,,她,,,她,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,鲜味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英语,高中阶段,,高中二年级,对中文基础用词的准确性？
2022-07-03 06:24:48,2022-07-03 06:28:32,IP Address,183.95.34.192,100,223,True,2022-07-03 06:28:32,R_2Ug86mInTZhJzzj,,,,,30.589,114.2681,anonymous,ZH-S,花园,有,,她,,,,他,,,他,,,她,他,,,,她,,他,,,,她,,,,她,,她,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,洪,是,儿童,女,中文 英文,高中阶段,,高中二年级,文化受众
2022-07-03 06:26:45,2022-07-03 06:29:57,IP Address,221.192.180.145,100,191,True,2022-07-03 06:29:57,R_sHfVj71KYK9ZXQl,,,,,38.036,114.4654,anonymous,ZH-S,花园,有,,,他,,,他,他,,,,,他,,,他,,,他,,,他,他,,,,她,,他,,,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文。英文。,高中阶段,,高中一年级,
2022-07-03 06:24:27,2022-07-03 06:30:28,IP Address,120.244.194.156,100,360,True,2022-07-03 06:30:28,R_1llNNMYEGqvbRNF,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,他,,,,她,,,她,,,,他/她,他,,,,,他/她,,她,,,,他/她,,,他/她,,,他/她,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,汉语/英语,高中阶段,,高中二年级,我们对于职业的性别刻板印象
2022-07-03 06:28:15,2022-07-03 06:32:01,IP Address,218.85.218.205,100,226,True,2022-07-03 06:32:02,R_2WMWuwvg4y9eme7,,,,,24.9051,118.5707,anonymous,ZH-S,花园,有,,她,,,她,,,她,,,她,,,,她,他,,,他,,,他,,,,,她,,,他,他,,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英语,高中阶段,,高中二年级,学生的中文水平
2022-07-03 06:27:47,2022-07-03 06:32:50,IP Address,117.150.206.161,100,302,True,2022-07-03 06:32:50,R_3LjygT1OXn9756B,,,,,30.589,114.2681,anonymous,ZH-S,花园,有,他,,,他,,,,,他,,,他,,她,,,,他,他,,,,,他,他,,,他,,,,,他,,,他,幸福,排队,认同,时间,所有,整,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文,高中阶段,,高中二年级,
2022-07-03 06:29:22,2022-07-03 06:33:19,IP Address,120.245.68.237,100,237,True,2022-07-03 06:33:20,R_XuZmCQvS5wyVPtn,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,,他,,,他,他,,,,她,,,她,,,她,,,她,,他,,,,她,,,她,,他,,,幸福,排队,认同,时间,所以,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,汉语，英语，粤语,高中阶段,,高中二年级,研究高中生的语文水平有没有差到和小学生一个水平
2022-07-03 06:33:20,2022-07-03 06:37:35,IP Address,117.136.38.75,100,255,True,2022-07-03 06:37:36,R_3RkiOtZxrL14aTP,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,,他,,她,,他,,,,,他,,她,,,,他,,,他,,,她,,她,,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,英语 中文,高中阶段,,高中二年级,为了研究出题人对于语文的人称是不是有什么误会
2022-07-03 06:33:48,2022-07-03 06:39:03,IP Address,111.201.90.0,100,315,True,2022-07-03 06:39:03,R_3HviGeST8XlkNVw,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,他,,,他,,,,她,,,她,,,,他,他,,,,她,,,她,,,,他,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文,高中阶段,,高中三年级,中文母语者对拼音以及汉字的理解和掌握程度
2022-07-03 06:30:04,2022-07-03 06:39:11,IP Address,120.204.215.1,100,547,True,2022-07-03 06:39:12,R_1LHYHzmQGEAEzcq,,,,,31.2222,121.4581,anonymous,ZH-S,花园,有,,她,,,她,,他,,,,,他,他,,,他,,,,她,,他,,,,,他,他,,,,她,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,汉语,高中阶段,,高中三年级,同音词？人称代词？
2022-07-03 06:36:10,2022-07-03 06:41:18,IP Address,120.244.164.74,100,307,True,2022-07-03 06:41:19,R_29hP2ZXzpqgH7SW,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,,他,,,他,,,他,,,他,,她,,他,,,,,他,,她,,,,他,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英语 法语,高中阶段,,高中二年级,中文拼音掌握程度及熟练度
2022-07-03 06:37:03,2022-07-03 06:41:39,IP Address,171.218.49.96,100,276,True,2022-07-03 06:41:39,R_26hVxSXepZW9YkZ,,,,,30.6498,104.0555,anonymous,ZH-S,花园,有,他,,,,她,,他,,,,她,,他,,,他,,,,,他,,她,,他,,,他,,,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文,高中阶段,,高中三年级,她和他的分辨
2022-07-03 06:37:43,2022-07-03 06:43:50,IP Address,223.104.42.107,100,366,True,2022-07-03 06:43:50,R_abn5hkJ4UOVjz57,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,他,,,,她,,,她,,,她,,,她,,,她,,,她,,他,,,,,他,,,她,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英语,高中阶段,,高中二年级,
2022-07-03 06:01:21,2022-07-03 06:44:47,IP Address,223.215.114.48,100,2606,True,2022-07-03 06:44:47,R_1OoSlIrN7LPTSkz,,,,,30.76,118.4054,anonymous,ZH-S,花园,有,他,,,,她,,,她,,他,,,他,,,,,他,,她,,他,,,他,,,,,他,,,他,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文,高中阶段,,高中三年级,中文的她他
2022-07-03 06:44:15,2022-07-03 06:48:45,IP Address,113.116.112.175,100,270,True,2022-07-03 06:48:46,R_2WvWmnTmVZfkpGX,,,,,32.0355,112.149,anonymous,ZH-S,花园,有,,她,,,她,,,她,,,,他,,她,,,,她,,,她,,,她,他,,,,她,,,她,,,,她,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英语,高中阶段,,高中三年级,性别认知相关（或者说性别歧视）
